"writer","childLabel","parentLabel","spouseLabel"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tezozomoc (Azcapotzalco)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Benedek Zerhas de Zerhashaz","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Benedetto Accolti the Elder","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Benedict Swingate Calvert","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Benedicta Ebbesdotter of Hvide","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bengt Jönsson Oxenstierna","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bengt Rabaeus","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Bengt Snivil","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Birger Jarl","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Birger Jarl","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Birger Jarl","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Birger Jarl","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Birger Jarl","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Charles VIII of Sweden","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Duchess Charlotte of Brunswick-Lüneburg","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Duchess Charlotte of Brunswick-Lüneburg","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward of the Palatinate-Simmern","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Elizabeth Calvert","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ferenc Esterházy (1533–1604)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ingeborg Eriksdotter of Sweden","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ingeborg Eriksdotter of Sweden","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ingeborg Eriksdotter of Sweden","Geoffrey A. Landis"
