"a","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"http://dbpedia.org/resource/Mikhail_Plyatskovsky","Yenakiieve","Russian",
"http://dbpedia.org/resource/Fernando_Denis","Ciénaga, Magdalena","Colombian",
"http://dbpedia.org/resource/Scott_Flansburg","Herkimer, New York","American",
"http://dbpedia.org/resource/Shivmangal_Singh_Suman","Unnao District","Indian",
"http://dbpedia.org/resource/Kevin_Brooks_(writer)","Pinhoe","British",
"http://dbpedia.org/resource/David_Hair","Hawke's Bay Region","New Zealander",
"http://dbpedia.org/resource/David_Wong_(writer)","Lawrenceville, Illinois","American",
"http://dbpedia.org/resource/Luis_Valdez","Delano, California","United States",
"http://dbpedia.org/resource/Kevin_Canty_(author)","Lakeport, California","United States",
"http://dbpedia.org/resource/Harald_Sverdrup_(writer)","Buksnes","Norwegian",
"http://dbpedia.org/resource/Christian_Tămaș","Letca","Romanian",
"http://dbpedia.org/resource/Sender_Garlin","Bialystok","American",
"http://dbpedia.org/resource/Rita_Carla_Francesca_Monticelli","Carbonia, Sardinia","Italian",
"http://dbpedia.org/resource/Ewn_Garabandal","Province of Monza e Brianza","Italy",
"http://dbpedia.org/resource/Sheree-Lee_Olson","Picton, Ontario","Canada",
"http://dbpedia.org/resource/Fernando_Denis","Magdalena Department","Colombian",
"http://dbpedia.org/resource/Qu_Bo_(novelist)","Longkou","Chinese",
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","Poole, Dorset","English",
"http://dbpedia.org/resource/Percy_Qoboza","Sophiatown","South African",
"http://dbpedia.org/resource/Marvin_X","Fowler, California","American",
"http://dbpedia.org/resource/Shiva_Kumar_Rai","Rhenock","Indian",
